car_model;price;year_model;kms;color;fueltype
Chevrolet Sail 1.4 Ls;$31.000.000;2014;62.000;Blanco;Gasolina
Chevrolet Sail 1.4 Ls;$26.500.000;2015;91.300;Color not found;Gasolina
Chevrolet Sail 1.4 Ltz;$30.000.000;2016;80.000;Color not found;Gasolina
Chevrolet Sail 1.4 Ls;$38.000.000;2018;39.600;Color not found;Gasolina
Chevrolet Sail 1.4 Lt 5 p;$28.000.000;2015;83.000;Plateado;Gasolina
Chevrolet Sail 1.4 Ls Mecánica;$32.000.000;2017;90.000;Color not found;Gasolina
Chevrolet Sail 1.4 Lt;$33.000.000;2019;35.525;Azul;Gasolina
Chevrolet Sail 1.4 Ls;$30.500.000;2016;94.200;Gris;Gasolina
Chevrolet Sail 1.4 Ls;$28.500.000;2016;91.700;Color not found;Gasolina
Chevrolet Sail 1.4 Ls;$27.500.000;2014;112.700;Color not found;Gasolina
Chevrolet Sail 1.4 Ls;$29.000.000;2017;93.500;Gris;Gasolina
Chevrolet Sail 1.4 Ls;$28.000.000;2013;179.000;Gris;Gasolina
Chevrolet Sail 1.4 Ls;$32.000.000;2017;72.000;Color not found;Gasolina
